テーマＩＤ,問題ＩＤ,,タイトル,問題本文,解説,解答１,解答２,解答３,解答４,解答５,解答６,解答７,解答８,解答９,解答１０
7,20,,電線の接続法（1a）,*電線の接続*について、*裸電線相互*、又は*裸電線*と*絶縁電線*、*キャブタイヤケーブル*若しくは*ケーブル*とを*接続する場合*は、次によること。!①*電線*の{1}を*20%以上減少*させないこと。!ただし、{2}を*接続*する場合その他*電線に加わる張力*が*電線*の{1}に比べて*著しく小さい場合*は、この限りでない。!②*接続部分*には、*接続管*その他の*器具*を使用し、又は{3}こと※,電技解釈第12条（電線の接続法）より!*裸電線相互*及び*裸電線とその他電線*とを接続する場合の規定であり、*絶縁電線相互*及び*絶縁電線とその他電線*との接続もこれに準じる。!※*架空電線相互*若しくは*電車線相互*又は鉱山の坑道内において電線相互を接続する場合であって、技術上困難であるときは、この限りでない。,引張強さ/対候性/絶縁抵抗値/電気抵抗,ジャンパー線/アースフック/架空引込線/埋設引込線,ろう付けする/堅牢に#巻き付ける,,,,,,,
7,19,,電線の接続法（1b）,*電線の接続*について、*裸電線相互*、又は*裸電線*と*絶縁電線*、*キャブタイヤケーブル*若しくは*ケーブル*とを*接続する場合*は、次によること。!①*電線*の*引張強さ*を{1}*減少*させないこと。!ただし、*ジャンパー線*を*接続*する場合その他*電線に加わる張力*が*電線*の*引張強さ*に比べて*著しく小さい場合*は、この限りでない。!②*接続部分*には、{2}その他の*器具*を使用し、又は*ろう付け*すること※,電技解釈第12条（電線の接続法）より!*裸電線相互*及び*裸電線とその他電線*とを接続する場合の規定であり、*絶縁電線相互*及び*絶縁電線とその他電線*との接続もこれに準じる。!※*架空電線相互*若しくは*電車線相互*又は鉱山の坑道内において電線相互を接続する場合であって、技術上困難であるときは、この限りでない。,20%以上/10%以上/15%以上/30%以上,接続管/バインド線/がいし,,,,,,,,
7,22,,電線の接続法（2a）,*電線の接続*について、*絶縁電線相互*又は*絶縁電線*と*コード*、*キャブタイヤケーブル*若しくは*ケーブル*とを*接続する場合*は、*裸電線の接続の規定*に準じるほか、次の*いずれか*によること。!（A）*接続部分*の*絶縁電線*の*絶縁物*と同等以上の*絶縁効力*のある{1}こと。!（B）*接続部分*をその部分の*絶縁電線*の*絶縁物*と同等以上の*絶縁効力*のあるもので{2}こと。,電技解釈第12条（電線の接続法）より!*絶縁電線相互*及び*絶縁電線とその他電線*との接続は、*裸電線の接続*の規定（*引張強さ*、*接続管の使用等*）に加え、*接続部分の絶縁*について規定される。#これにより、*差込形コネクタ*や*絶縁テープ*の使用が規定される。,接続器を#使用する/ボックスに#収める/隔壁を#設置する/電線管に#収める,十分に#被覆する/隠ぺいする/堅固に#固定する,,,,,,,,
7,21,,電線の接続法（2b）,*電線の接続*について、*絶縁電線相互*又は*絶縁電線*と*コード*、*キャブタイヤケーブル*若しくは*ケーブル*とを*接続する場合*は、*裸電線の接続の規定*に準じるほか、次の*いずれか*によること。!（A）*接続部分*の*絶縁電線*の*絶縁物*と同等以上の{1}のある*接続器を使用*すること。!（B）*接続部分*をその部分の*絶縁電線*の*絶縁物*と同等以上の{1}のあるもので*十分に被覆*すること。,電技解釈第12条（電線の接続法）より!*絶縁電線相互*及び*絶縁電線とその他電線*との接続は、*裸電線の接続*の規定（*引張強さ*、*接続管の使用等*）に加え、*接続部分の絶縁*について規定される。#これにより、*差込形コネクタ*や*絶縁テープ*の使用が規定される。,絶縁効力/強度/対候性/可とう性,,,,,,,,,
7,23,,電気機械器具の熱的強度,*電路*に施設する*電気機械器具*は、*通常の使用状態*においてその*電気機械器具*に*発生する{1}*に*耐えるもの*でなければならない。,電技省令第8条（電気機械器具の熱的強度）より,熱/振動/衝撃/電流,,,,,,,,,
7,24,,電気機械器具の危険の防止（1）,*高圧又は特別高圧*の*電気機械器具*は{1}が*容易に触れるおそれ*がないように施設しなければならない。!ただし、{2}による*危険のおそれがない場合*は、この限りでない。,電技省令第9条（高圧又は特別高圧の電気機械器具の危険の防止）より,取扱者以外の者/主任技術者#以外の者/一般公衆/鳥獣等,接触/接近/侵入,,,,,,,,
7,25,5,電気機械器具の危険の防止（2）,*高圧又は特別高圧*の*開閉器*、*遮断器*、*避雷器*その他これらに類する*器具*であって、*動作時*に{1}を*生ずるもの*は、{2}のおそれがないよう、*木製の壁又は天井*その他の*可燃性の物*から*離して*施設しなければならない。!ただし、{3}の物で両者の間を*隔離*した場合は、この限りでない。,電技省令第9条（高圧又は特別高圧の電気機械器具の危険の防止）より,アーク/振動/衝撃/騒音,火災/損傷/損壊/劣化,耐火性/不燃性/難燃性,,,,,,,
7,26,,高圧の機械器具の施設方法（1）,*高圧の機械器具の施設方法①*!*高圧*の*機械器具*は*屋内*であって{1}が*出入りできない*ように措置した場所に施設すること。,電技解釈第21条（高圧の機械器具の施設）より!ただし、*発電所*又は*変電所*、*開閉所*若しくは*これらに準ずる場所*に施設する場合はこの限りでない。,取扱者以外の者/主任技術者#以外の者/一般公衆/鳥獣等,,,,,,,,,
7,27,,高圧の機械器具の施設方法（2）,*高圧の機械器具の施設方法②*!*高圧*の*機械器具*は*次により*施設すること。!ただし、*工場等の構内*においては、この規定によらないことができる。!①*人が触れるおそれ*がないように、*機械器具*の*周囲*に{1}を設けること。!②{2}である旨の*表示*をすること。!③施設する*さく、へい*等の*高さ*と、当該*さく、へい*等から*機械器具*の*充電部分*までの*距離との和*を{3}とすること。,電技解釈第21条（高圧の機械器具の施設）より!ただし、*発電所*又は*変電所*、*開閉所*若しくは*これらに準ずる場所*に施設する場合はこの限りでない。,適当な#さく、へい等/警報装置等/適当なへい/適当なさく,危険/高圧/充電中/接近禁止,5m以上/6m以上/4m以上/4.5m以上,,,,,,,
7,28,,高圧の機械器具の施設方法（3）,*高圧の機械器具の施設方法③*!*高圧*の*機械器具*は*機械器具*に附属する*高圧電線*に*ケーブル*又は*引下げ用高圧絶縁電線*を使用し、*機械器具*を人が触れるおそれがないように*地表上*{1}の*高さ*に施設すること。!ただし、*市街地外*においては{2}の*高さ*に施設すること。,電技解釈第21条（高圧の機械器具の施設）より!ただし、*発電所*又は*変電所*、*開閉所*若しくは*これらに準ずる場所*に施設する場合はこの限りでない。,4.5m以上/5m以上/4m以上/6m以上,4m以上/4.5m以上/3m以上/3.5m以上,,,,,,,,
7,29,6,高圧の機械器具の施設方法（4）,*高圧の機械器具の施設方法④*!*高圧*の*機械器具*は*機械器具*を{1}又は{2}を施した*金属製の箱*に収め、かつ、*充電部分*が*露出*しないように施設すること。,電技解釈第21条（高圧の機械器具の施設）より!ただし、*発電所*又は*変電所*、*開閉所*若しくは*これらに準ずる場所*に施設する場合はこの限りでない。,コンクリート製#の箱/絶縁された箱,D種接地工事/C種接地工事/A種接地工事,,,,,,,,
7,30,,高圧の機械器具の施設方法（5）,*高圧の機械器具の施設方法⑤*!*高圧*の*機械器具*は*充電部分が露出しない機械器具*を、次の*いずれか*により施設すること。!（A）{1}を施すこと。!（B）*温度上昇*により、又は*故障の際*に、その*近傍*の*大地との間*に生じる*電位差*により{2}又は*他の工作物*に*危険*のおそれがないように施設すること。,電技解釈第21条（高圧の機械器具の施設）より!ただし、*発電所*又は*変電所*、*開閉所*若しくは*これらに準ずる場所*に施設する場合はこの限りでない。,簡易接触#防護措置/接触防護措置,人若しくは家畜/一般公衆,,,,,,,,
7,31,,特別高圧の機械器具の施設方法（1）,*特別高圧の機械器具の施設方法①*!*特別高圧*の*機械器具*は*屋内*であって、{1}が*出入り*できないように措置した場所に施設すること。,電技解釈第22条（特別高圧の機械器具の施設）より!ただし、*発電所*又は*変電所*、*開閉所*若しくは*これらに準ずる場所*に施設する場合、又は第191条（電気集じん装置等の施設）若しくは第194条（エックス線発生装置の施設）の規定により施設する場合はこの限りでない。,取扱者以外の者/主任技術者#以外の者/一般公衆/鳥獣等,,,,,,,,,
7,32,7,特別高圧の機械器具の施設方法（2）,*特別高圧の機械器具の施設方法②*!*特別高圧*の*機械器具*は*次により*施設すること。!①*人が触れる*おそれがないように、*機械器具*の*周囲*に適当な{1}を設けること。!②{2}である旨の*表示*をすること。!③規定により施設する{1}の*高さ*と、当該{1}から*機械器具*の*充電部分*までの*距離との和*を*次の値以上*とすること。!*使用電圧が35\000V以下の場合*は*{3}以上*!*使用電圧が35\000Vを超え160\000V以下の場合*は*{4}以上*,電技解釈第22条（特別高圧の機械器具の施設）より!ただし、*発電所*又は*変電所*、*開閉所*若しくは*これらに準ずる場所*に施設する場合、又は第191条（電気集じん装置等の施設）若しくは第194条（エックス線発生装置の施設）の規定により施設する場合はこの限りでない。,さく/へい/さく、へい,危険/特別高圧/充電中/高圧以上,5m/6m/4m/4.5m,6m/5m/4m/5.5m,,,,,,
7,33,,特別高圧の機械器具の施設方法（3）,*特別高圧の機械器具の施設方法③*!*特別高圧*の*機械器具*は*機械器具*を*地表上{1}以上*の*高さに施設*し、*充電部分*の*地表上の高さ*を*次の値以上*とし、かつ、*人が触れるおそれ*がないように施設すること。!*使用電圧が35\000V以下の場合*は*{2}以上*!*使用電圧が35\000Vを超え160\000V以下の場合*は*{3}以上*,電技解釈第22条（特別高圧の機械器具の施設）より!ただし、*発電所*又は*変電所*、*開閉所*若しくは*これらに準ずる場所*に施設する場合、又は第191条（電気集じん装置等の施設）若しくは第194条（エックス線発生装置の施設）の規定により施設する場合はこの限りでない。,5m/6m/4m/4.5m,5m/6m/4m/4.5m,6m/5m/7m/4.5m,,,,,,,
7,34,,特別高圧の機械器具の施設方法（4）,*特別高圧の機械器具の施設方法④*!*特別高圧*の*機械器具*は*工場等の構内*において、*機械器具*を{1}又は{2}を施した*金属製の箱*に収め、かつ、*充電部分*が*露出*しないように施設すること。,電技解釈第22条（特別高圧の機械器具の施設）より!ただし、*発電所*又は*変電所*、*開閉所*若しくは*これらに準ずる場所*に施設する場合、又は第191条（電気集じん装置等の施設）若しくは第194条（エックス線発生装置の施設）の規定により施設する場合はこの限りでない。,絶縁された箱/コンクリート製#の箱,A種接地工事/C種接地工事/D種接地工事,,,,,,,,
7,35,,特別高圧の機械器具の施設方法（5）,*特別高圧の機械器具の施設方法⑤*!*特別高圧*の*機械器具*は*充電部分*が*露出しない機械器具*に{1}を施すこと。,電技解釈第22条（特別高圧の機械器具の施設）より!ただし、*発電所*又は*変電所*、*開閉所*若しくは*これらに準ずる場所*に施設する場合、又は第191条（電気集じん装置等の施設）若しくは第194条（エックス線発生装置の施設）の規定により施設する場合はこの限りでない。,簡易接触#防護措置/接触防護措置,,,,,,,,,
7,36,,発電所等への立入の防止,*高圧又は特別高圧*の*電気機械器具*、*発変電所*等には{1}に{2}を*表示*するとともに、容易に*構内に立ち入るおそれ*がないように適切な措置を講じなければならない。,電技省令第23条（発電所等への取扱者以外の者の立入の防止）より,取扱者以外の者/電気主任技術者#以外の者/設備の管理者#以外の者/管理する法人の#従業員以外の者,危険である旨/高圧である旨/私有地である旨,,,,,,,,
7,37,,屋外に機器を施設する発変電所等,*高圧又は特別高圧*の*機械器具*及び*母線*等を*屋外*に施設する*発変電所等*は、次により*構内*に*取扱者以外の者*が立ち入らないような措置を講じること。!①{1}*旨*を*表示*すること。!②*出入口*に{2}する等、*取扱者以外の者*の*出入りを制限する措置*を講じること。!③{3}を設けること。!④*特別高圧*の*機械器具*等を施設する場合は{3}の*高さ*と{3}から*充電部分*までの*距離との和*を次の値以上とすること。!*使用電圧が35\000V以下の場合*は*{4}以上*!*使用電圧が35\000Vを超え160\000V以下の場合*は*{5}以上*,電技解釈第38条（発電所等への取扱者以外の者の立入の防止）より!*発電所*又は*変電所*、*開閉所*若しくは*これらに準ずる場所*はこの規定に準じる。!ただし、*土地の状況*により人が立ち入るおそれがない箇所については、この限りでない。,出入口に#立入りを禁止する/出入口に#危険である/機械器具周辺に#危険である/機械器具周辺に#接近を禁止する,施錠装置を#施設して施錠/堅牢な扉を施設/警報装置を施設,さく、へい等/さく/へい,5m/6m/4m/4.5m,6m/5m/4m/5.5m,,,,,
7,38,,屋内に機器を施設する発変電所等,*高圧又は特別高圧*の*機械器具*等を*屋内*に施設する*発変電所*等は、次により*構内*に*取扱者以外の者*が立ち入らないような措置を講じること。!①*出入口*に*{1}を禁止する旨*を*表示*すること。!②*出入口*に{2}する等、*取扱者以外の者*の*出入りを制限する措置*を講じること。!③次の*いずれか*によること。!（A）{3}を設けること。!（B）*さく、へい等*を設け、当該*さく、へい等*の*高さ*と、*さく、へい等*から*充電部分*までの*距離との和*を、次の値以上とすること。!*使用電圧が35\000V以下の場合*は*{4}以上*!*使用電圧が35\000Vを超え160\000V以下の場合*は*{5}以上*,電技解釈第38条（発電所等への取扱者以外の者の立入の防止）より!*発電所*又は*変電所*、*開閉所*若しくは*これらに準ずる場所*はこの規定に準じる。!ただし、*機械器具*等を*屋外*に施設する*発変電所*等の規定により施設した*さく、へい*の*内部*については、この限りでない。,立入り/接近/侵入,施錠装置を#施設して施錠/警報装置を設置/監視カメラを設置,堅ろうな壁/金属製の仕切り,5m/6m/4m/4.5m,6m/5m/4m/5.5m,,,,,
7,39,a,アークを生じる器具の施設,*高圧用又は特別高圧用*の*開閉器*、*遮断器*又は*避雷器*その他これらに類する*器具*であって、*動作時*に*アーク*を生じるものは、次の*いずれか*により施設すること。!①{1}のもので*アーク*を生じる部分を*囲む*ことにより、*木製の壁*又は*天井*その他の*可燃性*のものから*隔離*すること。!②*木製の壁*又は*天井*その他の*可燃性*のものとの*離隔距離*を、次の値以上とすること。!*使用電圧*が*高圧*の場合は{2}!*使用電圧*が*特別高圧*で*35\000V以下*の場合は{3}#※*動作時*に生じる{4}を*火災が発生*するおそれがないように*制限した場合*にあっては{5}!*35\000V超過*の場合は{6},電技解釈第23条（アークを生じる器具の施設）より,耐火性/不燃性/難燃性,1m以上/2m以上/3m以上/0.5m以上,2m以上/1m以上/1.5m以上/3m以上,アークの方向#及び長さ/衝撃/アークの#発生時間,1m以上/2m以上/1.5m以上/0.5m以上,2m以上/1m以上/3m以上/2.5m以上,,,,
7,40,,電気設備の接地,*電気設備*の*必要な箇所*には、{1}、{2}等による*感電*、*火災*その他*人体に危害*を及ぼし、又は*物件への損傷*を与えるおそれがないよう、*接地*その他の適切な措置を講じなければならない。!ただし、*電路*に係る部分にあっては、第5条の規定（*混触*による*高電圧の侵入*等の異常が発生した際の*危険を回避*するための*接地*等）に定めるところによりこれを行わなければならない。,電技省令第10条（電気設備の接地）より,異常時の#電位上昇/軽負荷時の#電位上昇/無負荷時の#電位上昇,高電圧の侵入/逆電圧/絶縁破壊,,,,,,,,
7,41,,電気設備の接地の方法,*電気設備*に*接地*を施す場合は、*電流*が{1}に{2}ことができるようにしなければならない。,電技省令第11条（電気設備の接地の方法）より,安全かつ確実/抑制され確実/確実かつ短時間,大地に通ずる/接地線に通ずる/接地極に通ずる/電路に通ずる,,,,,,,,
7,42,8,機械器具の接地,*電路*に施設する*機械器具*の*金属製の台*及び*外箱*※には、*使用電圧*の区分に応じ、次のとおり*接地工事*を施すこと。!*使用電圧*が*低圧*で*300V以下*の*機械器具*には{1}を施す。!*使用電圧*が*低圧*で*300V超過*の*機械器具*には{2}を施す。!*使用電圧*が*高圧又は特別高圧*の機械器具には{3}を施す。!ただし、*外箱*を*充電*して使用する機械器具に人が触れるおそれがないように*さく*などを設けて施設する場合又は*絶縁台*を設けて施設する場合は、この限りでない。,電技解釈第29条（機械器具の金属製外箱等の接地）より!※*外箱*のない*変圧器*又は*計器用変成器*にあっては*鉄心*に接地工事を施す。,D種接地工事/A種接地工事/B種接地工事/C種接地工事,C種接地工事/A種接地工事/B種接地工事/D種接地工事,A種接地工事/B種接地工事/C種接地工事/D種接地工事,,,,,,,
7,43,,計器用変成器の２次側接地,*高圧計器用変成器*の*2次側電路*には{1}を施すこと。!*特別高圧計器用変成器*の*2次側電路*には{2}を施すこと。!なお、*高圧計器用変成器*及び*特別高圧計器用変成器*の*金属製外箱等*には{3}を施すこと。,電技解釈第28条（計器用変成器の2次側電路の接地）より,D種接地工事/A種接地工事/B種接地工事/C種接地工事,A種接地工事/B種接地工事/C種接地工事/D種接地工事,A種接地工事/B種接地工事/C種接地工事/D種接地工事,,,,,,,
7,44,,接地工事の省略（1）,*接地工事の省略条件①*!{1}が*交流{2}以下*、*直流{3}以下*の*機械器具*を{4}に*施設する場合*は*機械器具*の*金属製外箱等*の*接地工事*を*省略*できる。,電技解釈第29条（機械器具の金属製外箱等の接地）より,対地電圧/使用電圧/線間電圧/定格電圧,150V/300V/60V/600V,300V/150V/600V/450V,乾燥した場所/水気のある場所#以外の場所/湿気のある場所#以外の場所/雨露に#さらされない場所,,,,,,
7,46,,接地工事の省略（2）,*接地工事の省略条件②*!*低圧用*の*機械器具*を*乾燥した木製の床*その他これに類する{1}の上で取り扱うように施設する場合は*機械器具*の*金属製外箱等*の*接地工事*を*省略*できる。,電技解釈第29条（機械器具の金属製外箱等の接地）より,絶縁性のもの/金属以外のもの/耐熱性のもの/導電性のもの,,,,,,,,,
7,47,9,接地工事の省略（3）,*接地工事の省略条件③*!*電気用品安全法*の適用を受ける*{1}の構造*の*機械器具*を施設する場合は*機械器具*の*金属製外箱等*の*接地工事*を*省略*できる。,電技解釈第29条（機械器具の金属製外箱等の接地）より,２重絶縁/基礎絶縁/付加絶縁/強化絶縁,,,,,,,,,
7,48,,接地工事の省略（4）,*接地工事の省略条件④*!*低圧用*の*機械器具*に電気を供給する電路の*電源側*に*2次側線間電圧*が*{1}以下*であって、*容量*が*{2}以下*の*絶縁変圧器*を施設し、かつ、当該*絶縁変圧器*の*負荷側の電路*を*{3}場合*は*機械器具*の*金属製外箱等*の*接地工事*を*省略*できる。,電技解釈第29条（機械器具の金属製外箱等の接地）より,300V/150V/600V/60V,3kVA/1.5kVA/1kVA/5kVA,接地しない/接地する,,,,,,,
7,49,,接地工事の省略（5）,*接地工事の省略条件⑤*!{1}に施設する*低圧用*の*機械器具*に電気を供給する電路に、*電気用品安全法*の適用を受ける*定格感度電流*が*{2}以下*、*動作時間*が*{3}以下*の{4}を施設する場合は*機械器具*の*金属製外箱等*の*接地工事*を*省略*できる。,電技解釈第29条（機械器具の金属製外箱等の接地）より!感電時に*可随電流*を超える電流が流れる恐れのある*水気のある場所を除き*、*高速高感度形*の*漏電遮断器*を施設することで、接地工事を省略することができる。,水気のある場所#以外の場所/乾燥した場所#以外の場所/湿気のある場所#以外の場所/水を扱い場所,15mA/30mA/100mA/500mA,0.1秒/0.5秒/1秒/2秒,電流動作型の#漏電遮断器/電圧動作型の#漏電遮断器/過電流遮断器/欠相保護機能付#配線用遮断器/欠相保護機能付#漏電遮断器,,,,,,
7,51,,接地工事の省略（6）,*接地工事の省略条件⑥*!*金属製外箱等*の*周囲*に{1}を設ける場合は*機械器具*の*金属製外箱等*の*接地工事*を*省略*できる。,電技解釈第29条（機械器具の金属製外箱等の接地）より,適当な絶縁台/警報装置/危険表示,,,,,,,,,
7,53,,接地工事の省略（7）,*接地工事の省略条件⑦*!{1}の*機械器具等*を、*木柱*その他これに類する*絶縁性*のものの上であって、人が触れるおそれがない*高さ*に施設する場合は*機械器具*の*金属製外箱等*の*接地工事*を*省略*できる。,電技解釈第29条（機械器具の金属製外箱等の接地）より,低圧用#若しくは高圧用/低圧用/高圧用/屋外用,,,,,,,,,
7,54,,高圧用機械器具の連接接地,*高圧ケーブル*に接続される*高圧用*の*機械器具*の*金属製外箱等*の*接地*は、*日本電気技術規格委員会規格*「*{1}による高圧用の機械器具の金属製外箱等の連接接地*」により施設することができる。,電技解釈第29条（機械器具の金属製外箱等の接地）より,高圧ケーブル#の遮へい層/金属管の接地/高圧ケーブル#の心線,,,,,,,,,
7,55,,太陽電池等の機械器具の接地,*太陽電池モジュール*、*燃料電池発電設備*又は*常用電源*として用いる*蓄電池*に接続する*直流電路*に施設する*機械器具*であって、*使用電圧*が{1}のものの*金属製外箱等*に施す*C種接地工事*の*接地抵抗値*は、次に適合する場合は*{2}以下*とすることができる。!①*直流電路*は{3}こと。!②*直流電路*に接続する*逆変換装置*の*交流側*に{4}を施設すること。!③*直流電路*を構成する*太陽電池モジュール*にあっては、当該*直流電路*に接続される*太陽電池モジュール*の*合計出力*が*{5}以下*であること。!④*直流電路*を構成する*燃料電池発電設備*にあっては、当該*直流電路*に接続される個々の*燃料電池発電設備*の*出力*がそれぞれ*{5}未満*であること。!⑤*直流電路*を構成する*蓄電池*にあっては、当該*直流電路*に接続される個々の*蓄電池*の*出力*がそれぞれ*{5}未満*であること。!⑥*直流電路*に機械器具※を*施設しないこと*。,電技解釈第29条（機械器具の金属製外箱等の接地）より!⑥※は*太陽電池モジュール*、*燃料電池発電設備*、常用電源として用いる*蓄電池*、*直流変換装置*、*逆変換装置*、*避雷器*等の*器具を除く*。,300Vを超え#450V以下/300Vを超え#600V以下/450Vを超え#600V以下/300Vを超え#400V以下,100Ω/30Ω/500Ω/50Ω,非接地である/接地されている,絶縁変圧器/逆電力継電器/不足電圧継電器/地絡過電圧継電器,10kW/50kW/20kW/5kW,,,,,
7,56,,必要な場合における電路の接地,*電路*の*保護装置*の*確実な動作の確保*、*異常電圧の抑制*又は*対地電圧の低下*を図るために必要な場合は次に掲げる場所に*接地を施すことができる*。!①{1}!ただし、*使用電圧*が*{2}以下*の*電路*において*中性点*に接地を施し難いときは{3}!②{4}!③{5}の*電路*又はこれに接続する*直流電路*,電技解釈第19条（保安上又は機能上必要な場合における電路の接地）より,電路の中性点/電路の一端子/電気使用場所#の接地相/Ｓ相の電路,300V/450V/600V/150V,電路の一端子/電気使用場所#の接地相/Ｓ相の電路,特別高圧の#直流電路/高圧の#直流電路,燃料電池/太陽電池/蓄電池,,,,,
7,57,,A種接地工事の施設方法（1）,*A種接地工事*の*接地抵抗値*は*{1}以下*であること。,電技解釈第17条（接地工事の種類及び施設方法）より,10Ω/100Ω/30Ω/500Ω,,,,,,,,,
7,58,8,A種接地工事の施設方法（2）,*A種接地工事*の*接地線*は、次に適合するものであること。!①*故障の際*に流れる*電流*を*安全*に通じることができるものであること。!②前号に規定する場合を除き、*引張強さ{1}以上*の*容易に腐食し難い金属線*又は*直径{2}以上*の*軟銅線*であること。,電技解釈第17条（接地工事の種類及び施設方法）より!また、*移動して使用する電気機械器具*の*金属製外箱等*に*接地工事*を施す場合において*可とう性*を必要とする部分は、*3種クロロプレンキャブタイヤケーブル*等※の*1心*又は*多心キャブタイヤケーブル*の*遮へい*その他の*金属体*であって、*断面積*が*8m㎡以上*のものであること。,1.04kN/0.39kN/2.46kN/5.93kN,2.6mm/1.6mm/2.0mm/5.0mm,,,,,,,,
7,59,,A種接地工事の施設方法（3）,*A種接地工事*の*接地極*及び*接地線*を*{1}に施設する場合*は、*同条の可とう性を必要とする部分の接地の場合*及び*発電所*又は*変電所*、*開閉所*若しくは*これらに準ずる場所*において、*接地極*を第19条（*保安上又は機能上必要な場合における電路の接地*）の規定に準じて施設する場合を*除き*、次により施設すること。!①*接地極*は*地下{2}以上*の*深さ*に*埋設*すること。!②*接地極*を*鉄柱*その他の*金属体*に*近接*して施設する場合は、次の*いずれか*によること。#（A）*接地極*を*鉄柱*その他の*金属体*の*底面から{3}以上の深さ*に*埋設*すること。#（B）*接地極*を*地中*でその*金属体*から*{4}以上離して埋設*すること。!③*接地線*には、*絶縁電線*※又は*通信用ケーブル以外のケーブル*を使用すること。!ただし、*接地線*を*鉄柱*その他の*金属体に沿って施設する場合以外の場合*には、*接地線*の*地表上{5}を超える部分*については、この限りでない。,電技解釈第17条（接地工事の種類及び施設方法）より!※*屋外用ビニル絶縁電線*を除く。,人が触れるおそれ#がある場所/発電所、変電所#以外の場所/変電所に#準ずる場所,75cm/60cm/30cm/100cm,30cm/75cm/60cm/100cm,100cm/30cm/60cm/75cm,60cm/30cm/75cm/100cm,,,,,
7,60,,A種接地工事の施設方法（4）,*A種接地工事*の*接地線*は{1}を施設してある*支持物*に施設しないこと,電技解釈第17条（接地工事の種類及び施設方法）より,避雷針用地線/通信設備/架空地線/柱上変圧器,,,,,,,,,
7,61,,B種接地工事の施設方法（1）,*B種接地工事*の*接地抵抗値*は{1}及び当該*変圧器*の*高圧側又は特別高圧側*の*電路*と*低圧側*の*電路*との*混触*により、*低圧電路*の*対地電圧*が{2}*を超えた場合*に、*自動的*に*高圧又は特別高圧*の*電路*を*遮断する装置*を設ける場合の*遮断時間*により計算した次の値以下であること。!①*高圧*又は*35\000V以下の特別高圧*の*電路*と*低圧電路*を*結合*するものであって、*混触時*の*遮断時間*が*1秒以下*である場合{3}!②*高圧*又は*35\000V以下の特別高圧*の*電路*と*低圧電路*を*結合*するものであって、*混触時*の*遮断時間*が*1秒を超え2秒以下*である場合{4}!③上記以外の場合{5},電技解釈第17条（接地工事の種類及び施設方法）より,1線地絡電流Ig/負荷電流IL/零相電圧Vo/無負荷電流Ii,150V/300V/600V/750V,【7_61_3_c.png】/【7_61_3_w1.png】/【7_61_3_w2.png】/【7_61_3_w3.png】,【7_61_4_c.png】/【7_61_4_w1.png】/【7_61_4_w2.png】/【7_61_4_w3.png】,【7_61_5_c.png】/【7_61_5_w1.png】/【7_61_5_w2.png】/【7_61_5_w3.png】,,,,,
7,62,,B種接地工事の施設方法（2）,*B種接地工事*の*接地抵抗値*の計算に用いる*1線地絡電流**Ig*は、次の*いずれか*によること。|（A）{1}|（B）*特別高圧電路*において*実測が困難な場合*は、*線路定数*等により計算した値|（C）*中性点非接地式*の*高圧電路*※においては、*次の計算式*により計算した値【7_62.png】!*V'*は*電路*の*公称電圧[kV]*を{2}で除した*電圧[kV]*!*L*は*{3}以外の電線*を使用する*高圧電路*の{4}!*L'*は{3}を使用する*高圧電路*の{5}!ただし、*計算結果*は、*小数点以下を切り上げ**2A未満*となる場合は*2A*とする。,電技解釈第17条（接地工事の種類及び施設方法）より!※*大地*から*絶縁*しないで使用する*電気ボイラー*、*電気炉等*を*直接接続*するものは除く。,実測値/一般送配電事業者#から指示された値/周囲の需要家#と同一の値,1.1/6.6/3.3/100,ケーブル/絶縁電線,電線延長[km]/線路延長[km],線路延長[km]/電線延長[km],,,,,
7,63,,B種接地工事の施設方法（3）,*B種接地工事*の*接地線*は、次に適合するものであること。!①*故障*の際に流れる*電流*を*安全*に通じることができるものであること。!②*次に規定するもの*であること!*接地工事*を施す*変圧器*が*高圧電路*又は*15\000V以下の特別高圧架空電線路の電路*と*低圧電路*とを*結合*するものである*場合*は*引張強さ{1}以上*の*容易に腐食し難い金属線*又は*直径{2}以上*の*軟銅線*!*上記以外の場合*は*引張強さ{3}以上*の*容易に腐食し難い金属線*又は*直径{4}以上*の*軟銅線*,電技解釈第17条（接地工事の種類及び施設方法）より!※*15\000V以下の特別高圧架空電線路*は*電技解釈第108条*（*15\000V以下の特別高圧架空電線路の施設*）に規定するものであること。!※*移動*して使用する*電気機械器具*の金属製外箱等に*接地工事を施す場合*において、*可とう性を必要とする部分*は*3種クロロプレンキャブタイヤケーブル*等の*1心*又は*多心キャブタイヤケーブル*の*遮へい*その他の*金属体*であって、*断面積が8m㎡以上*のものを用いる。,1.04kN/0.39kN/2.46kN/5.93kN,2.6mm/1.6mm/2.0mm/4.0mm,2.46kN/1.04kN/0.39kN/5.93kN,4.0mm/2.6mm/1.6mm/2.0mm,,,,,,
